Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,PR Freq,Tx Power,Skip,Step,Clock Shift,Comment
50,144.39000,144.39000,,Simplex,FM,APRS,None,,,1500 Hz,High,Off,5.00 kHz,Off,IARU Region 2 APRS Frequency
51,147.32000,147.92000,600 kHz,Plus,FM,D1-1,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,D-1 Primary Net Repeater  [OEM Monitored]
52,146.84000,146.24000,600 kHz,Minus,FM,D1-2,None,,,1500 Hz,High,Off,5.00 kHz,Off,D-1 Secondary / Multnomah Co. ARES Primary Repe...
53,146.78000,146.18000,600 kHz,Minus,FM,D4-1,Tone,156.7 Hz,,1500 Hz,High,Off,5.00 kHz,Off,D-4 Primary Net Repeater
54,440.47500,445.47500,5.00 MHz,Plus,FM,HRT 1,Tone,123.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,HEART Net-Primary Repeater (K0HSU)
55,442.70000,447.70000,5.00 MHz,Plus,FM,HRT 2,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,HEART Net Secondary Repeater
56,145.52000,145.52000,,Simplex,FM,INTEL1,None,,,1500 Hz,High,Off,5.00 kHz,Off,Intel Emergency Amateur Radio Service (IEARS)
57,146.70000,146.10000,600 kHz,Minus,FM,LDS 1,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CARS LDS Regional Emergency Network--Stonehenge...
58,446.00000,446.00000,,Simplex,FM,NUCALL,None,,,1500 Hz,High,Off,5.00 kHz,Off,National UHF Calling Simplex Frequency
59,146.52000,146.52000,,Simplex,FM,NVCALL,None,,,1500 Hz,High,Off,5.00 kHz,Off,National VHF Calling Simplex Frequency
60,146.98000,146.38000,600 kHz,Minus,FM,RED C1,DCS,,,1500 Hz,High,Off,5.00 kHz,Off,Red Cross Repeater (Portland)
61,147.42000,147.42000,,Simplex,FM,RED CR,None,,,1500 Hz,High,Off,5.00 kHz,Off,Red Cross Simplex
62,145.33000,144.73000,600 kHz,Minus,FM,OEM 1,Tone,186.2 Hz,,1500 Hz,High,Off,5.00 kHz,Off,OEM Oregon Emergency Management (Salem)
63,147.02000,147.62000,600 kHz,Plus,FM,OEM 2,Tone,186.2 Hz,,1500 Hz,High,Off,5.00 kHz,Off,Oregon Emergency Management (OEM Salem)
64,144.99000,144.99000,,Simplex,FM,OEM 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,RMS Winlink VARA FM Packet W7ODN-10 / OEM EOC: ...
65,146.46000,146.46000,,Simplex,FM,PROV 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,Providence Hospital Simplex Channel
66,443.22500,448.22500,5.00 MHz,Plus,FM,PROV 2,Tone,107.2 Hz,,1500 Hz,High,Off,5.00 kHz,Off,Providence Portland Medical Center Repeater Fre...
67,444.85000,449.85000,5.00 MHz,Plus,FM,PROV 3,Tone,123.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,Providence St. Vincent Medical Center Repeater ...
68,146.86000,146.26000,600 kHz,Minus,FM,W7SRA,Tone,186.2 Hz,,1500 Hz,High,Off,5.00 kHz,Off,Salem Prospect Hill--W7SRA Repeater
69,147.12000,147.72000,600 kHz,Plus,FM,YELLOW,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,Version Control Channel--Yellow released 2024-0...
