Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,PR Freq,Tx Power,Skip,Step,Clock Shift,Comment
14,441.06250,441.06250,,Simplex,FM,CLAD 3,None,,,1500 Hz,High,Off,12.50 kHz,Off,CLAC ARES WinLink RMS Gateway 3 Reserve
15,441.52500,441.52500,,Simplex,FM,CLAD 4,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES WinLink VARA-FM RMS KD7ZDO-12 located...
16,145.77000,145.77000,,Simplex,FM,CLAD 5,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES Winlink VARA-FM RMS--KD7ZDO-11 locate...
17,145.57000,145.57000,,Simplex,FM,CLAD 6,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES DIGT--Winlink Packet RMS-- KD7ZDO-10-...
18,145.83000,145.83000,,Simplex,FM,CLAD 7,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES Winlink VARA-FM P-P KD7ZDO-Digipeater...
19,444.45000,449.45000,5.00 MHz,Plus,FM,CANBF1,Tone,131.8 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC CANBY FIRE RPTR-- Canby (K7CFD)
20,145.75000,145.75000,,Simplex,FM,CFD1 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC CERT SIMP - CFD  CERT Primary
21,431.85000,431.85000,,Simplex,FM,CFD1 2,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC CERT SIMP - CFD 1 CERT Secondary
22,431.82500,431.82500,,Simplex,FM,CLOG 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES SIMP-CARES Logistics 1
23,431.87500,431.87500,,Simplex,FM,CLOG 2,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES SIMP-CARES Logistics 2
24,146.54000,146.54000,,Simplex,FM,EAST 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC EAST SIMP-Clackamas East County ARES Simplex
